FlightNum,PlanTime,ActualTime,Direction,City,Country,Terminal,Status
5160,2024-08-04T02:20:00,2024-08-04T02:20:00,A,LARNACA,CYPRUS,3,CANCELED
722,2024-08-04T02:25:00,2024-08-04T02:25:00,A,BUDAPEST,HUNGARY,3,CANCELED
558,2024-08-04T02:50:00,2024-08-04T02:28:00,A,SOFIA,BULGARIA,3,LANDED
576,2024-08-04T02:50:00,2024-08-04T02:30:00,A,BUCHAREST,ROMANIA,3,LANDED
216,2024-08-03T21:55:00,2024-08-04T02:34:00,A,ATHENS,GREECE,3,LANDED
810,2024-08-04T03:10:00,2024-08-04T03:10:00,A,ROME,ITALY,3,CANCELED
0052F,2024-08-04T03:10:00,2024-08-04T03:10:00,A,LARNACA,CYPRUS,3,CANCELED
052,2024-08-04T03:10:00,2024-08-04T03:10:00,A,LARNACA,CYPRUS,3,CANCELED
7381,2024-08-04T03:10:00,2024-08-04T03:10:00,A,ROME,ITALY,3,CANCELED
566,2024-08-04T07:25:00,2024-08-04T03:30:00,A,ATHENS,GREECE,3,LANDED
0707,2024-08-04T04:00:00,2024-08-04T03:37:00,A,ATHENS,GREECE,3,LANDED
404,2024-08-04T03:45:00,2024-08-04T03:45:00,A,ADDIS ABABA,ETHIOPIA,3,CANCELED
573,2024-08-04T03:10:00,2024-08-04T03:48:00,A,SOFIA,BULGARIA,3,LANDED
771,2024-08-04T03:50:00,2024-08-04T03:50:00,A,RIGA,LATVIA,3,CANCELED
151,2024-08-04T03:50:00,2024-08-04T03:50:00,A,WARSAW,POLAND,3,CANCELED
9256,2024-08-04T03:50:00,2024-08-04T03:50:00,A,WARSAW,POLAND,3,CANCELED
6083,2024-08-04T02:15:00,2024-08-04T03:53:00,A,BOURGAS,BULGARIA,3,LANDED
5118,2024-08-04T03:15:00,2024-08-04T04:06:00,A,TBILISI,GEORGIA,3,LANDED
5288,2024-08-04T04:35:00,2024-08-04T04:07:00,A,PRAGUE,CZECH REPUBLIC,3,LANDED
1286,2024-08-04T04:35:00,2024-08-04T04:07:00,A,PRAGUE,CZECH REPUBLIC,3,LANDED
7878,2024-08-04T04:25:00,2024-08-04T04:09:00,A,ROME,ITALY,3,LANDED
284,2024-08-04T04:25:00,2024-08-04T04:09:00,A,ROME,ITALY,3,LANDED
3172,2024-08-04T04:25:00,2024-08-04T04:09:00,A,ROME,ITALY,3,LANDED
237,2024-08-03T22:45:00,2024-08-04T04:25:00,A,BUCHAREST,ROMANIA,3,LANDED
5148,2024-08-04T02:55:00,2024-08-04T04:27:00,A,THESSALONIKI,GREECE,3,LANDED
172,2024-08-03T23:20:00,2024-08-04T04:36:00,A,LARNACA,CYPRUS,3,LANDED
1544,2024-08-04T04:25:00,2024-08-04T04:40:00,A,ATHENS,GREECE,3,LANDED
809,2024-08-04T04:45:00,2024-08-04T04:45:00,D,ROME,ITALY,3,CANCELED
527,2024-08-04T04:45:00,2024-08-04T04:45:00,D,LARNACA,CYPRUS,3,CANCELED
6655,2024-08-04T04:45:00,2024-08-04T04:45:00,D,ROME,ITALY,3,CANCELED
7380,2024-08-04T04:45:00,2024-08-04T04:45:00,D,ROME,ITALY,3,CANCELED
929,2024-08-04T04:55:00,2024-08-04T04:55:00,D,ATHENS,GREECE,3,CANCELED
088,2024-08-04T05:10:00,2024-08-04T04:55:00,A,PHUKET,THAILAND,3,LANDED
5803,2024-08-04T05:00:00,2024-08-04T05:00:00,D,RAMON,ISRAEL,1,CANCELED
5621,2024-08-04T05:00:00,2024-08-04T05:00:00,D,BUCHAREST,ROMANIA,3,CANCELED
596,2024-08-04T05:00:00,2024-08-04T05:00:00,A,PAPHOS,CYPRUS,3,CANCELED
152,2024-08-04T05:05:00,2024-08-04T05:05:00,D,WARSAW,POLAND,3,CANCELED
9255,2024-08-04T05:05:00,2024-08-04T05:05:00,D,WARSAW,POLAND,3,CANCELED
2471,2024-08-04T04:45:00,2024-08-04T05:07:00,D,AMSTERDAM,NETHERLANDS,3,DEPARTED
237,2024-08-04T04:45:00,2024-08-04T05:07:00,D,AMSTERDAM,NETHERLANDS,3,DEPARTED
3153,2024-08-04T04:45:00,2024-08-04T05:07:00,D,AMSTERDAM,NETHERLANDS,3,DEPARTED
288,2024-08-04T05:15:00,2024-08-04T05:09:00,A,MILAN,ITALY,3,LANDED
3182,2024-08-04T05:15:00,2024-08-04T05:09:00,A,MILAN,ITALY,3,LANDED
752,2024-08-04T05:10:00,2024-08-04T05:12:00,D,HERAKLION,GREECE,3,DEPARTED
5107,2024-08-04T05:05:00,2024-08-04T05:14:00,D,TBILISI,GEORGIA,1,DEPARTED
415,2024-08-04T05:15:00,2024-08-04T05:15:00,D,ADDIS ABABA,ETHIOPIA,3,CANCELED
