CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1T,CHLOCCT,CHTERM,CHRMINE
LY,320,EL AL ISRAEL AIRLINES,2024-08-04T16:30:00,2024-08-04T16:49:00,A,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,LANDED
SK,3164,SAS,2024-08-04T16:30:00,2024-08-04T16:49:00,A,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,LANDED
LY,382,EL AL ISRAEL AIRLINES,2024-08-04T16:45:00,2024-08-04T16:50:00,A,MXP,MILAN-MALPENSA,MILAN,ITALY,3,LANDED
SK,3184,SAS,2024-08-04T16:45:00,2024-08-04T16:50:00,A,MXP,MILAN-MALPENSA,MILAN,ITALY,3,LANDED
AM,7859,AERO MEXICO,2024-08-04T17:00:00,2024-08-04T16:53:00,A,MAD,MADRID,MADRID,SPAIN,3,LANDED
AR,7872,AEROLINEAS ARGENTINAS S.A.,2024-08-04T17:00:00,2024-08-04T16:53:00,A,MAD,MADRID,MADRID,SPAIN,3,LANDED
IB,2395,IBERIA,2024-08-04T17:00:00,2024-08-04T16:53:00,A,MAD,MADRID,MADRID,SPAIN,3,LANDED
LY,396,EL AL ISRAEL AIRLINES,2024-08-04T17:00:00,2024-08-04T16:53:00,A,MAD,MADRID,MADRID,SPAIN,3,LANDED
UVL,562,UNIVERSAL AIR CHARTER,2024-08-04T16:55:00,2024-08-04T16:55:00,D,LCA,LARNACA,LARNACA,CYPRUS,3,CANCELED
B6,6482,JETBLUE AIRWAYS CORPORATION,2024-08-04T17:15:00,2024-08-04T16:59:00,A,EWR,NEW YORK - NEWARK,NEWARK,UNITED STATES,3,LANDED
DL,7442,DELTA AIRLINES,2024-08-04T17:15:00,2024-08-04T16:59:00,A,EWR,NEW YORK - NEWARK,NEWARK,UNITED STATES,3,LANDED
LY,026,EL AL ISRAEL AIRLINES,2024-08-04T17:15:00,2024-08-04T16:59:00,A,EWR,NEW YORK - NEWARK,NEWARK,UNITED STATES,3,LANDED
A3,927,AEGEAN  AIRLINES,2024-08-04T17:10:00,2024-08-04T17:10:00,D,ATH,ATHENS,ATHENS,GREECE,3,CANCELED
EK,4978,EMIRATES,2024-08-04T17:10:00,2024-08-04T17:10:00,D,ATH,ATHENS,ATHENS,GREECE,3,CANCELED
BA,403,BRITISH AIRWAYS PLC,2024-08-04T16:20:00,2024-08-04T17:12:00,D,LHR,LONDON - HEATHROW,LONDON,UNITED KINGDOM,3,DEPARTED
BZ,702,BLUE BIRD AIRWAYS,2024-08-04T14:55:00,2024-08-04T17:14:00,D,ATH,ATHENS,ATHENS,GREECE,3,DEPARTED
G2,608,GULLIVAIR,2024-08-04T16:40:00,2024-08-04T17:19:00,D,BOJ,BURGAS,BOURGAS,BULGARIA,3,DEPARTED
UVL,563,UNIVERSAL AIR CHARTER,2024-08-04T17:20:00,2024-08-04T17:20:00,D,LCA,LARNACA,LARNACA,CYPRUS,3,CANCELED
6H,045,ISRAIR AIRLINES,2024-08-04T17:20:00,2024-08-04T17:20:00,D,ETM,RAMON,RAMON,ISRAEL,1,CANCELED
6H,725,ISRAIR AIRLINES,2024-08-04T16:00:00,2024-08-04T17:26:00,D,BUD,BUDAPEST,BUDAPEST,HUNGARY,1,DEPARTED
AM,7856,AERO MEXICO,2024-08-04T17:20:00,2024-08-04T17:28:00,A,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,LANDED
AR,7856,AEROLINEAS ARGENTINAS S.A.,2024-08-04T17:20:00,2024-08-04T17:28:00,A,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,LANDED
B6,6456,JETBLUE AIRWAYS CORPORATION,2024-08-04T17:20:00,2024-08-04T17:28:00,A,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,LANDED
DL,7431,DELTA AIRLINES,2024-08-04T17:20:00,2024-08-04T17:28:00,A,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,LANDED
LY,008,EL AL ISRAEL AIRLINES,2024-08-04T17:20:00,2024-08-04T17:28:00,A,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,LANDED
LY,343,EL AL ISRAEL AIRLINES,2024-08-04T16:40:00,2024-08-04T17:29:00,D,ZRH,ZURICH,ZURICH,SWITZERLAND,3,DEPARTED
SK,3191,SAS,2024-08-04T16:40:00,2024-08-04T17:29:00,D,ZRH,ZURICH,ZURICH,SWITZERLAND,3,DEPARTED
W4,2811,WIZZ AIR MALTA,2024-08-04T17:30:00,2024-08-04T17:30:00,A,VIE,VIENNA,VIENNA,AUSTRIA,3,CANCELED
LY,375,EL AL ISRAEL AIRLINES,2024-08-04T17:10:00,2024-08-04T17:33:00,D,LIS,LISBON,LISBON,PORTUGAL,3,DEPARTED
TP,8920,AIR PORTUGAL,2024-08-04T17:10:00,2024-08-04T17:33:00,D,LIS,LISBON,LISBON,PORTUGAL,3,DEPARTED
I2,3980,IBERIA EXPRESS,2024-08-04T17:35:00,2024-08-04T17:35:00,A,MAD,MADRID,MADRID,SPAIN,3,CANCELED
LY,8388,EL AL ISRAEL AIRLINES,2024-08-04T17:35:00,2024-08-04T17:35:00,A,MAD,MADRID,MADRID,SPAIN,3,CANCELED
EK,2470,EMIRATES,2024-08-04T17:40:00,2024-08-04T17:36:00,A,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,LANDED
FZ,1125,FLYDUBAI,2024-08-04T17:40:00,2024-08-04T17:36:00,A,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,LANDED
IZ,821,ARKIA  ISRAELI  AIRLINES,2024-08-04T17:15:00,2024-08-04T17:36:00,D,ETM,RAMON,RAMON,ISRAEL,1,DEPARTED
KL,2472,K.L.M.,2024-08-04T17:20:00,2024-08-04T17:37:00,A,AMS,AMSTERDAM,AMSTERDAM,NETHERLANDS,3,LANDED
LY,338,EL AL ISRAEL AIRLINES,2024-08-04T17:20:00,2024-08-04T17:37:00,A,AMS,AMSTERDAM,AMSTERDAM,NETHERLANDS,3,LANDED
SK,3150,SAS,2024-08-04T17:20:00,2024-08-04T17:37:00,A,AMS,AMSTERDAM,AMSTERDAM,NETHERLANDS,3,LANDED
AF,6173,AIR FRANCE,2024-08-04T17:00:00,2024-08-04T17:41:00,D,NCE,NICE,NICE,FRANCE,3,DEPARTED
LY,223,EL AL ISRAEL AIRLINES,2024-08-04T17:00:00,2024-08-04T17:41:00,D,NCE,NICE,NICE,FRANCE,3,DEPARTED
6H,594,ISRAIR AIRLINES,2024-08-04T17:00:00,2024-08-04T17:41:00,A,PFO,PAPHOS,PAPHOS,CYPRUS,3,LANDED
6H,562,ISRAIR AIRLINES,2024-08-04T16:15:00,2024-08-04T17:42:00,A,ATH,ATHENS,ATHENS,GREECE,3,LANDED
AM,7877,AERO MEXICO,2024-08-04T17:00:00,2024-08-04T17:43:00,D,LHR,LONDON - HEATHROW,LONDON,UNITED KINGDOM,3,DEPARTED
LY,317,EL AL ISRAEL AIRLINES,2024-08-04T17:00:00,2024-08-04T17:43:00,D,LHR,LONDON - HEATHROW,LONDON,UNITED KINGDOM,3,DEPARTED
VS,7495,VIRGIN ATLANTIC AIRWAYS,2024-08-04T17:00:00,2024-08-04T17:43:00,D,LHR,LONDON - HEATHROW,LONDON,UNITED KINGDOM,3,DEPARTED
UVL,563,UNIVERSAL AIR CHARTER,2024-08-04T08:00:00,2024-08-04T17:44:00,A,LCA,LARNACA,LARNACA,CYPRUS,3,LANDED
LY,348,EL AL ISRAEL AIRLINES,2024-08-04T17:25:00,2024-08-04T17:47:00,A,ZRH,ZURICH,ZURICH,SWITZERLAND,3,LANDED
SK,3188,SAS,2024-08-04T17:25:00,2024-08-04T17:47:00,A,ZRH,ZURICH,ZURICH,SWITZERLAND,3,LANDED
BZ,693,BLUE BIRD AIRWAYS,2024-08-04T17:40:00,2024-08-04T17:49:00,A,RHO,RHODES-PARADISI,RHODES,GREECE,3,LANDED
BZ,887,BLUE BIRD AIRWAYS,2024-08-04T18:00:00,2024-08-04T17:51:00,A,JMK,MIKONOS,MYKONOS,GREECE,3,LANDED
BZ,754,BLUE BIRD AIRWAYS,2024-08-04T13:45:00,2024-08-04T17:52:00,D,HER,HERAKLION,HERAKLION,GREECE,3,DEPARTED
AM,7866,AERO MEXICO,2024-08-04T17:15:00,2024-08-04T17:53:00,D,MAD,MADRID,MADRID,SPAIN,3,DEPARTED
AR,7873,AEROLINEAS ARGENTINAS S.A.,2024-08-04T17:15:00,2024-08-04T17:53:00,D,MAD,MADRID,MADRID,SPAIN,3,DEPARTED
IB,2396,IBERIA,2024-08-04T17:15:00,2024-08-04T17:53:00,D,MAD,MADRID,MADRID,SPAIN,3,DEPARTED
LY,397,EL AL ISRAEL AIRLINES,2024-08-04T17:15:00,2024-08-04T17:53:00,D,MAD,MADRID,MADRID,SPAIN,3,DEPARTED
LY,5115,EL AL ISRAEL AIRLINES,2024-08-04T17:55:00,2024-08-04T17:55:00,D,EFL,KEFALLINIA,KEFALONIA,GREECE,1,CANCELED
5F,447,FLYONE,2024-08-04T18:00:00,2024-08-04T17:57:00,A,RMO,CHISINAU,CHISINAU,MOLDOVA,3,LANDED
XR,734,CORENDON EUROPE,2024-08-04T15:05:00,2024-08-04T18:08:00,A,LCA,LARNACA,LARNACA,CYPRUS,3,LANDED
LY,545,EL AL ISRAEL AIRLINES,2024-08-04T17:15:00,2024-08-04T18:11:00,D,ATH,ATHENS,ATHENS,GREECE,3,DEPARTED
6H,511,ISRAIR AIRLINES,2024-08-04T13:10:00,2024-08-04T18:16:00,D,RHO,RHODES-PARADISI,RHODES,GREECE,1,DEPARTED
AR,7879,AEROLINEAS ARGENTINAS S.A.,2024-08-04T18:00:00,2024-08-04T18:17:00,D,FCO,ROME - FIUMICINO,ROME,ITALY,3,DEPARTED
LY,383,EL AL ISRAEL AIRLINES,2024-08-04T18:00:00,2024-08-04T18:17:00,D,FCO,ROME - FIUMICINO,ROME,ITALY,3,DEPARTED
SK,3169,SAS,2024-08-04T18:00:00,2024-08-04T18:17:00,D,FCO,ROME - FIUMICINO,ROME,ITALY,3,DEPARTED
TP,8900,AIR PORTUGAL,2024-08-04T18:00:00,2024-08-04T18:17:00,D,FCO,ROME - FIUMICINO,ROME,ITALY,3,DEPARTED
W4,2812,WIZZ AIR MALTA,2024-08-04T18:25:00,2024-08-04T18:25:00,D,VIE,VIENNA,VIENNA,AUSTRIA,1,CANCELED
LY,363,EL AL ISRAEL AIRLINES,2024-08-04T17:30:00,2024-08-04T18:26:00,D,VIE,VIENNA,VIENNA,AUSTRIA,3,DEPARTED
IB,2390,IBERIA,2024-08-04T17:45:00,2024-08-04T18:29:00,D,BCN,BARCELONA,BARCELONA,SPAIN,3,DEPARTED
LY,391,EL AL ISRAEL AIRLINES,2024-08-04T17:45:00,2024-08-04T18:29:00,D,BCN,BARCELONA,BARCELONA,SPAIN,3,DEPARTED
DL,7440,DELTA AIRLINES,2024-08-04T19:00:00,2024-08-04T18:30:00,A,FLL,FORT LAUDERDALE,FORT LAUDERDALE,UNITED STATES,3,LANDED
LY,022,EL AL ISRAEL AIRLINES,2024-08-04T19:00:00,2024-08-04T18:30:00,A,FLL,FORT LAUDERDALE,FORT LAUDERDALE,UNITED STATES,3,LANDED
IZ,816,ARKIA  ISRAELI  AIRLINES,2024-08-04T17:45:00,2024-08-04T18:32:00,A,ETM,RAMON,RAMON,ISRAEL,1,LANDED
I2,3981,IBERIA EXPRESS,2024-08-04T18:35:00,2024-08-04T18:35:00,D,MAD,MADRID,MADRID,SPAIN,3,CANCELED
LY,8389,EL AL ISRAEL AIRLINES,2024-08-04T18:35:00,2024-08-04T18:35:00,D,MAD,MADRID,MADRID,SPAIN,3,CANCELED
UVL,561,UNIVERSAL AIR CHARTER,2024-08-04T17:20:00,2024-08-04T18:37:00,D,LCA,LARNACA,LARNACA,CYPRUS,3,DEPARTED
IZ,062,ARKIA  ISRAELI  AIRLINES,2024-08-04T18:40:00,2024-08-04T18:40:00,A,KGS,KOS,KOS,GREECE,3,CANCELED
LY,2523,EL AL ISRAEL AIRLINES,2024-08-04T17:55:00,2024-08-04T18:40:00,D,PRG,PRAGUE-RUZYNE,PRAGUE,CZECH REPUBLIC,3,DEPARTED
W4,3689,WIZZ AIR MALTA,2024-08-04T18:40:00,2024-08-04T18:40:00,A,IAS,IASI,IASI,ROMANIA,3,CANCELED
6H,886,ISRAIR AIRLINES,2024-08-04T13:15:00,2024-08-04T18:50:00,A,BUS,BATUMI,BATUMI,GEORGIA,3,LANDED
IZ,1416,ARKIA  ISRAELI  AIRLINES,2024-08-04T04:00:00,2024-08-04T18:56:00,A,LCA,LARNACA,LARNACA,CYPRUS,3,LANDED
EK,2471,EMIRATES,2024-08-04T18:50:00,2024-08-04T18:59:00,D,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
FZ,1126,FLYDUBAI,2024-08-04T18:50:00,2024-08-04T18:59:00,D,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
LY,5142,EL AL ISRAEL AIRLINES,2024-08-04T19:15:00,2024-08-04T18:59:00,A,LCA,LARNACA,LARNACA,CYPRUS,3,LANDED
6H,729,ISRAIR AIRLINES,2024-08-04T18:10:00,2024-08-04T19:02:00,D,BOJ,BURGAS,BOURGAS,BULGARIA,3,DEPARTED
BZ,114,BLUE BIRD AIRWAYS,2024-08-04T18:55:00,2024-08-04T19:07:00,D,LCA,LARNACA,LARNACA,CYPRUS,3,DEPARTED
LY,387,EL AL ISRAEL AIRLINES,2024-08-04T18:30:00,2024-08-04T19:10:00,D,MXP,MILAN-MALPENSA,MILAN,ITALY,3,DEPARTED
SK,3183,SAS,2024-08-04T18:30:00,2024-08-04T19:10:00,D,MXP,MILAN-MALPENSA,MILAN,ITALY,3,DEPARTED
TP,8938,AIR PORTUGAL,2024-08-04T18:30:00,2024-08-04T19:10:00,D,MXP,MILAN-MALPENSA,MILAN,ITALY,3,DEPARTED
XR,743,CORENDON EUROPE,2024-08-04T16:10:00,2024-08-04T19:21:00,D,TGD,PODGORICA,PODGORICA,MONTENEGRO,3,DEPARTED
U8,109,TUS AIRWAYS,2024-08-04T19:10:00,2024-08-04T19:25:00,D,LCA,LARNACA,LARNACA,CYPRUS,3,DEPARTED
AF,6175,AIR FRANCE,2024-08-04T19:15:00,2024-08-04T19:27:00,A,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,LANDED
LY,222,EL AL ISRAEL AIRLINES,2024-08-04T19:15:00,2024-08-04T19:27:00,A,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,LANDED
BZ,758,BLUE BIRD AIRWAYS,2024-08-04T17:40:00,2024-08-04T19:29:00,D,HER,HERAKLION,HERAKLION,GREECE,3,DEPARTED
LY,5168,EL AL ISRAEL AIRLINES,2024-08-04T18:35:00,2024-08-04T19:29:00,A,TIV,TIVAT,TIVAT,MONTENEGRO,3,LANDED
B6,6460,JETBLUE AIRWAYS CORPORATION,2024-08-04T19:20:00,2024-08-04T19:31:00,A,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,LANDED
DL,7434,DELTA AIRLINES,2024-08-04T19:20:00,2024-08-04T19:31:00,A,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,LANDED
LY,014,EL AL ISRAEL AIRLINES,2024-08-04T19:20:00,2024-08-04T19:31:00,A,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,LANDED
6H,595,ISRAIR AIRLINES,2024-08-04T17:35:00,2024-08-04T19:31:00,D,LCA,LARNACA,LARNACA,CYPRUS,3,DEPARTED
LY,2522,EL AL ISRAEL AIRLINES,2024-08-04T19:40:00,2024-08-04T19:34:00,A,PRG,PRAGUE-RUZYNE,PRAGUE,CZECH REPUBLIC,3,LANDED
LY,5126,EL AL ISRAEL AIRLINES,2024-08-04T18:05:00,2024-08-04T19:36:00,A,JTR,SANTORINI,SANTORINI,GREECE,3,LANDED
IZ,822,ARKIA  ISRAELI  AIRLINES,2024-08-04T19:45:00,2024-08-04T19:39:00,A,ETM,RAMON,RAMON,ISRAEL,1,LANDED
AF,7071,AIR FRANCE,2024-08-04T19:20:00,2024-08-04T19:40:00,D,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,DEPARTED
AM,7853,AERO MEXICO,2024-08-04T19:20:00,2024-08-04T19:40:00,D,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,DEPARTED
LY,325,EL AL ISRAEL AIRLINES,2024-08-04T19:20:00,2024-08-04T19:40:00,D,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,DEPARTED
W4,3690,WIZZ AIR MALTA,2024-08-04T19:40:00,2024-08-04T19:40:00,D,IAS,IASI,IASI,ROMANIA,1,CANCELED
IZ,414,ARKIA  ISRAELI  AIRLINES,2024-08-04T12:30:00,2024-08-04T19:41:00,A,BUS,BATUMI,BATUMI,GEORGIA,3,LANDED
5F,448,FLYONE,2024-08-04T19:00:00,2024-08-04T19:44:00,D,RMO,CHISINAU,CHISINAU,MOLDOVA,3,DEPARTED
LY,229,EL AL ISRAEL AIRLINES,2024-08-04T16:30:00,2024-08-04T19:47:00,D,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,DEPARTED
LY,571,EL AL ISRAEL AIRLINES,2024-08-04T18:30:00,2024-08-04T19:49:00,D,OTP,BUCHAREST - OTOPENI,BUCHAREST,ROMANIA,3,DEPARTED
6H,888,ISRAIR AIRLINES,2024-08-04T19:50:00,2024-08-04T19:50:00,A,BUS,BATUMI,BATUMI,GEORGIA,3,CANCELED
AM,7865,AERO MEXICO,2024-08-04T19:15:00,2024-08-04T19:53:00,D,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,DEPARTED
B6,6457,JETBLUE AIRWAYS CORPORATION,2024-08-04T19:15:00,2024-08-04T19:53:00,D,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,DEPARTED
DL,7432,DELTA AIRLINES,2024-08-04T19:15:00,2024-08-04T19:53:00,D,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,DEPARTED
LY,011,EL AL ISRAEL AIRLINES,2024-08-04T19:15:00,2024-08-04T19:53:00,D,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,DEPARTED
6H,046,ISRAIR AIRLINES,2024-08-04T19:55:00,2024-08-04T19:55:00,A,ETM,RAMON,RAMON,ISRAEL,1,CANCELED
CY,110,CYPRUS AIRWAYS,2024-08-04T19:00:00,2024-08-04T20:02:00,A,LCA,LARNACA,LARNACA,CYPRUS,3,LANDED
LY,5122,EL AL ISRAEL AIRLINES,2024-08-04T17:00:00,2024-08-04T20:05:00,A,RHO,RHODES-PARADISI,RHODES,GREECE,3,LANDED
6H,711,ISRAIR AIRLINES,2024-08-04T18:00:00,2024-08-04T20:06:00,D,VAR,VARNA,VARNA,BULGARIA,3,DEPARTED
IZ,417,ARKIA  ISRAELI  AIRLINES,2024-08-04T18:25:00,2024-08-04T20:09:00,D,TBS,TBILISI,TBILISI,GEORGIA,1,DEPARTED
IZ,155,ARKIA  ISRAELI  AIRLINES,2024-08-04T13:15:00,2024-08-04T20:12:00,D,PFO,PAPHOS,PAPHOS,CYPRUS,3,DEPARTED
6H,532,ISRAIR AIRLINES,2024-08-04T20:15:00,2024-08-04T20:15:00,A,CFU,CORFU,CORFU,GREECE,3,CANCELED
6H,899,ISRAIR AIRLINES,2024-08-04T20:25:00,2024-08-04T20:25:00,D,TBS,TBILISI,TBILISI,GEORGIA,3,CANCELED
IZ,212,ARKIA  ISRAELI  AIRLINES,2024-08-04T17:55:00,2024-08-04T20:31:00,A,ATH,ATHENS,ATHENS,GREECE,3,LANDED
LY,543,EL AL ISRAEL AIRLINES,2024-08-04T19:30:00,2024-08-04T20:41:00,D,ATH,ATHENS,ATHENS,GREECE,3,DEPARTED
J2,321,AZERBAIJAN AIRLINES,2024-08-04T21:05:00,2024-08-04T20:54:00,A,GYD,BAKU HEYDAR ALIYEV INT`L,BAKU,AZERBAIJAN,3,LANDED
IZ,213,ARKIA  ISRAELI  AIRLINES,2024-08-04T20:45:00,2024-08-04T20:58:00,D,ATH,ATHENS,ATHENS,GREECE,3,DEPARTED
BZ,565,BLUE BIRD AIRWAYS,2024-08-04T21:00:00,2024-08-04T21:00:00,A,VAR,VARNA,VARNA,BULGARIA,3,CANCELED
6H,591,ISRAIR AIRLINES,2024-08-04T21:00:00,2024-08-04T21:00:00,D,PFO,PAPHOS,PAPHOS,CYPRUS,3,CANCELED
IZ,827,ARKIA  ISRAELI  AIRLINES,2024-08-04T18:00:00,2024-08-04T21:02:00,D,ETM,RAMON,RAMON,ISRAEL,1,DEPARTED
LY,5104,EL AL ISRAEL AIRLINES,2024-08-04T20:05:00,2024-08-04T21:09:00,A,BUS,BATUMI,BATUMI,GEORGIA,3,LANDED
LY,612,EL AL ISRAEL AIRLINES,2024-08-04T20:25:00,2024-08-04T21:10:00,A,DME,MOSCOW-DOMODEDOVO,MOSCOW,RUSSIAN FEDERATION,3,LANDED
S7,4483,SIBERIA AIRLINES,2024-08-04T20:25:00,2024-08-04T21:10:00,A,DME,MOSCOW-DOMODEDOVO,MOSCOW,RUSSIAN FEDERATION,3,LANDED
AM,7862,AERO MEXICO,2024-08-04T21:05:00,2024-08-04T21:14:00,A,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,LANDED
BZ,441,BLUE BIRD AIRWAYS,2024-08-04T20:00:00,2024-08-04T21:14:00,A,BUD,BUDAPEST,BUDAPEST,HUNGARY,3,LANDED
LY,324,EL AL ISRAEL AIRLINES,2024-08-04T21:05:00,2024-08-04T21:14:00,A,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,LANDED
SK,3160,SAS,2024-08-04T21:05:00,2024-08-04T21:14:00,A,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,LANDED
6H,703,ISRAIR AIRLINES,2024-08-04T21:15:00,2024-08-04T21:15:00,D,OTP,BUCHAREST - OTOPENI,BUCHAREST,ROMANIA,3,CANCELED
LY,5171,EL AL ISRAEL AIRLINES,2024-08-04T21:05:00,2024-08-04T21:17:00,D,LCA,LARNACA,LARNACA,CYPRUS,3,DEPARTED
CY,111,CYPRUS AIRWAYS,2024-08-04T20:00:00,2024-08-04T21:19:00,D,LCA,LARNACA,LARNACA,CYPRUS,3,DEPARTED
LY,2367,EL AL ISRAEL AIRLINES,2024-08-04T20:25:00,2024-08-04T21:29:00,D,BUD,BUDAPEST,BUDAPEST,HUNGARY,3,DEPARTED
LY,5137,EL AL ISRAEL AIRLINES,2024-08-04T19:50:00,2024-08-04T21:34:00,D,PFO,PAPHOS,PAPHOS,CYPRUS,1,DEPARTED
LY,5109,EL AL ISRAEL AIRLINES,2024-08-04T21:40:00,2024-08-04T21:40:00,D,TBS,TBILISI,TBILISI,GEORGIA,1,CANCELED
LY,5133,EL AL ISRAEL AIRLINES,2024-08-04T20:30:00,2024-08-04T21:40:00,D,LCA,LARNACA,LARNACA,CYPRUS,1,CANCELED
LY,547,EL AL ISRAEL AIRLINES,2024-08-04T10:10:00,2024-08-04T21:40:00,D,ATH,ATHENS,ATHENS,GREECE,3,CANCELED
LY,5195,EL AL ISRAEL AIRLINES,2024-08-04T20:00:00,2024-08-04T21:44:00,D,BEG,BELGRADE,BELGRADE,SERBIA,3,DEPARTED
BZ,751,BLUE BIRD AIRWAYS,2024-08-05T00:00:00,2024-08-04T21:48:00,A,HER,HERAKLION,HERAKLION,GREECE,3,LANDED
BZ,751,BLUE BIRD AIRWAYS,2024-08-04T21:40:00,2024-08-04T21:49:00,A,HER,HERAKLION,HERAKLION,GREECE,3,CANCELED
BZ,701,BLUE BIRD AIRWAYS,2024-08-04T20:10:00,2024-08-04T21:52:00,A,ATH,ATHENS,ATHENS,GREECE,3,LANDED
A4,5023,AZIMUTH AIRLINES,2024-08-04T19:30:00,2024-08-04T21:54:00,A,AER,SOCHI,SOCHI,RUSSIAN FEDERATION,3,LANDED
LY,5161,EL AL ISRAEL AIRLINES,2024-08-04T21:40:00,2024-08-04T21:55:00,D,LCA,LARNACA,LARNACA,CYPRUS,3,DEPARTED
IZ,271,ARKIA  ISRAELI  AIRLINES,2024-08-04T14:45:00,2024-08-04T21:58:00,D,BCN,BARCELONA,BARCELONA,SPAIN,1,DEPARTED
6H,512,ISRAIR AIRLINES,2024-08-04T17:25:00,2024-08-04T22:07:00,A,RHO,RHODES-PARADISI,RHODES,GREECE,3,LANDED
KLJ,2096,KLASJET,2024-08-04T22:50:00,2024-08-04T22:22:00,A,VCE,VENICE,VENICE,ITALY,3,LANDED
U8,102,TUS AIRWAYS,2024-08-04T22:15:00,2024-08-04T22:24:00,A,LCA,LARNACA,LARNACA,CYPRUS,3,LANDED
DL,7453,DELTA AIRLINES,2024-08-04T22:00:00,2024-08-04T22:28:00,A,LHR,LONDON - HEATHROW,LONDON,UNITED KINGDOM,3,LANDED
LY,316,EL AL ISRAEL AIRLINES,2024-08-04T22:00:00,2024-08-04T22:28:00,A,LHR,LONDON - HEATHROW,LONDON,UNITED KINGDOM,3,LANDED
VS,7494,VIRGIN ATLANTIC AIRWAYS,2024-08-04T22:00:00,2024-08-04T22:28:00,A,LHR,LONDON - HEATHROW,LONDON,UNITED KINGDOM,3,LANDED
BZ,756,BLUE BIRD AIRWAYS,2024-08-04T22:30:00,2024-08-04T22:30:00,D,HER,HERAKLION,HERAKLION,GREECE,3,CANCELED
LV,599,AIRZENA,2024-08-04T21:35:00,2024-08-04T22:38:00,A,TBS,TBILISI,TBILISI,GEORGIA,3,LANDED
J2,022,AZERBAIJAN AIRLINES,2024-08-04T22:25:00,2024-08-04T22:43:00,D,GYD,BAKU HEYDAR ALIYEV INT`L,BAKU,AZERBAIJAN,3,DEPARTED
IZ,368,ARKIA  ISRAELI  AIRLINES,2024-08-04T22:50:00,2024-08-04T22:47:00,A,TIV,TIVAT,TIVAT,MONTENEGRO,3,LANDED
U8,107,TUS AIRWAYS,2024-08-04T22:20:00,2024-08-04T22:48:00,D,LCA,LARNACA,LARNACA,CYPRUS,3,DEPARTED
H7,457,HISKY,2024-08-04T22:55:00,2024-08-04T22:51:00,A,RMO,CHISINAU,CHISINAU,MOLDOVA,3,LANDED
LY,3547,EL AL ISRAEL AIRLINES,2024-08-04T21:40:00,2024-08-04T22:52:00,D,ATH,ATHENS,ATHENS,GREECE,3,DEPARTED
LY,5109,EL AL ISRAEL AIRLINES,2024-08-04T21:00:00,2024-08-04T22:54:00,D,TBS,TBILISI,TBILISI,GEORGIA,1,DEPARTED
6H,596,ISRAIR AIRLINES,2024-08-04T20:35:00,2024-08-04T22:57:00,A,LCA,LARNACA,LARNACA,CYPRUS,3,LANDED
BZ,116,BLUE BIRD AIRWAYS,2024-08-04T22:35:00,2024-08-04T23:01:00,D,LCA,LARNACA,LARNACA,CYPRUS,3,DEPARTED
IZ,828,ARKIA  ISRAELI  AIRLINES,2024-08-04T20:45:00,2024-08-04T23:04:00,A,ETM,RAMON,RAMON,ISRAEL,1,LANDED
IZ,152,ARKIA  ISRAELI  AIRLINES,2024-08-04T16:15:00,2024-08-04T23:07:00,A,PFO,PAPHOS,PAPHOS,CYPRUS,3,LANDED
BZ,704,BLUE BIRD AIRWAYS,2024-08-04T22:30:00,2024-08-04T23:12:00,D,ATH,ATHENS,ATHENS,GREECE,3,DEPARTED
