CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1T,CHLOCCT,CHTERM,CHRMINE
DL,7424,DELTA AIRLINES,2024-08-04T01:00:00,2024-08-04T01:19:00,D,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,DEPARTED
LY,001,EL AL ISRAEL AIRLINES,2024-08-04T01:00:00,2024-08-04T01:19:00,D,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,DEPARTED
IZ,2211,ARKIA  ISRAELI  AIRLINES,2024-08-04T00:30:00,2024-08-04T01:22:00,D,ATH,ATHENS,ATHENS,GREECE,3,DEPARTED
B6,6465,JETBLUE AIRWAYS CORPORATION,2024-08-04T01:05:00,2024-08-04T01:24:00,D,BOS,BOSTON-LOGAN INT,BOSTON,UNITED STATES,3,DEPARTED
DL,7435,DELTA AIRLINES,2024-08-04T01:05:00,2024-08-04T01:24:00,D,BOS,BOSTON-LOGAN INT,BOSTON,UNITED STATES,3,DEPARTED
LY,015,EL AL ISRAEL AIRLINES,2024-08-04T01:05:00,2024-08-04T01:24:00,D,BOS,BOSTON-LOGAN INT,BOSTON,UNITED STATES,3,DEPARTED
LY,083,EL AL ISRAEL AIRLINES,2024-08-04T00:55:00,2024-08-04T01:26:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,BANGKOK,THAILAND,3,DEPARTED
QF,5018,QANTAS AIRWAYS,2024-08-04T00:55:00,2024-08-04T01:26:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,BANGKOK,THAILAND,3,DEPARTED
TG,4586,THAI AIRWAYS,2024-08-04T00:55:00,2024-08-04T01:26:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,BANGKOK,THAILAND,3,DEPARTED
B6,6481,JETBLUE AIRWAYS CORPORATION,2024-08-04T01:00:00,2024-08-04T01:28:00,D,EWR,NEW YORK - NEWARK,NEWARK,UNITED STATES,3,DEPARTED
DL,7441,DELTA AIRLINES,2024-08-04T01:00:00,2024-08-04T01:28:00,D,EWR,NEW YORK - NEWARK,NEWARK,UNITED STATES,3,DEPARTED
LY,025,EL AL ISRAEL AIRLINES,2024-08-04T01:00:00,2024-08-04T01:28:00,D,EWR,NEW YORK - NEWARK,NEWARK,UNITED STATES,3,DEPARTED
IZ,304,ARKIA  ISRAELI  AIRLINES,2024-08-04T01:10:00,2024-08-04T01:32:00,A,LCA,LARNACA,LARNACA,CYPRUS,3,LANDED
AM,7875,AERO MEXICO,2024-08-04T01:05:00,2024-08-04T01:34:00,D,LAX,LOS ANGELES,LOS ANGELES,UNITED STATES,3,DEPARTED
B6,6461,JETBLUE AIRWAYS CORPORATION,2024-08-04T01:05:00,2024-08-04T01:34:00,D,LAX,LOS ANGELES,LOS ANGELES,UNITED STATES,3,DEPARTED
DL,7428,DELTA AIRLINES,2024-08-04T01:05:00,2024-08-04T01:34:00,D,LAX,LOS ANGELES,LOS ANGELES,UNITED STATES,3,DEPARTED
LY,005,EL AL ISRAEL AIRLINES,2024-08-04T01:05:00,2024-08-04T01:34:00,D,LAX,LOS ANGELES,LOS ANGELES,UNITED STATES,3,DEPARTED
A3,456,AEGEAN  AIRLINES,2024-08-04T01:50:00,2024-08-04T01:50:00,A,HER,HERAKLION,HERAKLION,GREECE,3,CANCELED
A3,458,AEGEAN  AIRLINES,2024-08-04T01:50:00,2024-08-04T01:50:00,A,HER,HERAKLION,HERAKLION,GREECE,3,CANCELED
LY,548,EL AL ISRAEL AIRLINES,2024-08-04T02:05:00,2024-08-04T01:57:00,A,ATH,ATHENS,ATHENS,GREECE,3,LANDED
A3,928,AEGEAN  AIRLINES,2024-08-04T02:00:00,2024-08-04T02:00:00,A,ATH,ATHENS,ATHENS,GREECE,3,CANCELED
EK,4977,EMIRATES,2024-08-04T02:00:00,2024-08-04T02:00:00,A,ATH,ATHENS,ATHENS,GREECE,3,CANCELED
UVL,563,UNIVERSAL AIR CHARTER,2024-08-04T02:00:00,2024-08-04T02:00:00,A,LCA,LARNACA,LARNACA,CYPRUS,3,CANCELED
